name,asn,peeringdb,manrs,noc,rpki,IRR,traffic_ratio,traffic_volume,pni_volume,routing_practice,no_customer,no_customer_of_customer,min_transit_customer_req,consistent_routes,paid_peering,info_type,policy_general,fac_count,info_ratio,policy_ratio,info_scope,ix_count,never_via_rs,info_traffic,policy_contracts,info_prefixes6,info_prefixes4
Energy Sciences Network (ESnet) AS293,AS293,1,1,1,1,1,1.0,,,,0,0,-,1,0,Government,selective,18,Balanced,0,North America,9,0,18,not-required,250,500
ZX Education And Research Network AS139317,AS139317,0,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Balanced,0,Asia Pacific,9,0,1,not-required,300,100
internezzo AS206087,AS206087,1,0,0,0,0,1.0,,,,0,0,-,0,0,,open,1,,0,Europe,1,0,18,not-required,3,3
KlickKlack Communications AS131645,AS131645,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,,0,Regional,2,0,18,not-required,500,500
Prolocation AS41887,AS41887,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,open,15,Balanced,0,Europe,5,0,8,not-required,50,250
xTom GmbH AS3214,AS3214,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,16,Balanced,0,Europe,12,0,12,not-required,1000,1000
Kenstar Web Solutions AS138329,AS138329,0,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Mostly Inbound,0,Asia Pacific,1,0,2,not-required,5,10
FT Fibra Telecom LTDA AS271606,AS271606,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Balanced,0,Regional,0,0,4,not-required,1000,256
"Path Network, Inc. AS396998",AS396998,1,0,1,0,0,1.0,,,,0,0,-,0,0,NSP,open,43,Balanced,0,Global,26,0,12,not-required,5000,15000
JINZE YANG AS205794,AS205794,0,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,Global,5,0,18,not-required,100,0
May Mobility AS398351,AS398351,1,0,1,0,0,1.0,,,,0,0,-,0,0,Enterprise,open,1,Mostly Outbound,0,Global,1,0,5,not-required,10,3
Vocus Communications AS4826,AS4826,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,selective,43,Mostly Inbound,0,Global,29,0,12,not-required,5000,30000
O L I Telecomunicações AS263155,AS263155,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,,0,Regional,3,0,6,not-required,200,500
AS212635 AS212635,AS212635,0,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,4,Balanced,0,Europe,17,0,18,not-required,100,10
btIX TTPL-LAN AS17482,AS17482,0,0,0,1,1,1.0,,,,0,0,-,0,0,Route Server,open,0,Balanced,0,,0,0,4,not-required,0,0
Conexão Bahia Sul AS268674,AS268674,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Mostly Inbound,0,Regional,0,0,5,not-required,4,8
Chevron AS7862,AS7862,1,0,1,0,1,1.0,,,,0,0,-,0,0,Enterprise,selective,15,Mostly Inbound,0,Global,16,0,2,not-required,16,50
67 Telecom - AS61614 AS61614,AS61614,1,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,2,Mostly Inbound,0,Regional,6,0,8,not-required,1000,2000
eircom AS5466,AS5466,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,7,Mostly Inbound,0,Europe,4,0,11,not-required,10,100
Openface AS11478,AS11478,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,0,,0,North America,0,0,18,not-required,10,50
31173 Services AS39351,AS39351,0,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,18,Balanced,0,Europe,31,0,8,not-required,2000,650
HUAJINET Internet AS149835,AS149835,0,0,1,1,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Inbound,0,Global,7,0,2,not-required,30,0
ByteAnia AS212582,AS212582,1,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,5,,0,,1,0,3,not-required,32,10
GGNET TELECOM BACKBONE AS53062,AS53062,1,1,1,1,1,1.0,,,,0,0,-,0,0,NSP,open,9,Mostly Inbound,0,Regional,11,0,12,private-only,2000,3500
Ameliorate Laboratories AS396476,AS396476,0,0,1,0,0,1.0,,,,0,0,-,0,0,,open,0,,0,,0,0,18,private-only,0,0
Keiibiin's Holdings Limited AS148971,AS148971,1,0,1,0,1,1.0,,,,0,0,-,0,0,Enterprise,open,0,Mostly Inbound,0,Global,2,0,3,not-required,10000,0
Dimensi Jaringan Bersinar AS149951,AS149951,1,0,0,0,1,,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Mostly Inbound,1,Asia Pacific,2,0,5,required,200,100
PIT - Guatemala - Ciudad de Guatemala Route Server AS64157,AS64157,1,0,0,0,1,1.0,,,,0,0,-,0,0,Route Server,open,0,,0,North America,1,0,18,not-required,100000,100000
PT Telekomunikasi Internet Indonesia AS142332,AS142332,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,,0,Asia Pacific,2,0,3,not-required,1,2
Ify Host AS7487,AS7487,0,0,0,0,0,,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,1,Global,1,0,13,not-required,50,5000
INOC Data Centers AS22302,AS22302,0,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,selective,6,Mostly Inbound,0,Regional,3,0,8,not-required,50,200
cupaco AS212580 AS212580,AS212580,1,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,open,0,Balanced,0,Europe,2,0,1,not-required,200,50
dlbNetworks AS151413,AS151413,1,0,1,0,0,1.0,,,,0,0,-,0,0,,open,1,,0,,0,0,18,not-required,1,1
Nessus GmbH AS47692,AS47692,1,0,0,0,0,1.0,,,,0,0,-,0,0,NSP,open,10,Balanced,0,Europe,3,0,8,not-required,100,300
Thales Services Numériques AS29104,AS29104,1,0,0,0,1,1.0,,,,0,0,-,0,0,Enterprise,open,1,Balanced,0,Global,1,0,5,not-required,5,30
PHILUNET GmbH AS205112,AS205112,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,6,Balanced,0,Europe,8,0,18,not-required,500,500
Fiber Operator AS207375,AS207375,1,0,1,1,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,17,Mostly Inbound,0,Europe,4,0,18,not-required,50,200
svea.net AS41634,AS41634,1,0,0,0,0,1.0,,,,0,0,-,0,0,,open,2,,0,,2,0,18,not-required,10,10
"VIA PERSONAL TECNOLOGIA, INFORMAÇÃO E COMUNICAÇÃO AS52690",AS52690,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Mostly Inbound,0,South America,0,0,5,private-only,1,1
Pacific Northwest Gigapop AS101,AS101,0,0,1,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,3,Balanced,0,Regional,6,0,8,not-required,50,400
Welsh Government AS202519,AS202519,0,0,0,0,0,1.0,,,,0,0,-,0,0,Non-Profit,selective,0,Heavy Inbound,0,Regional,1,0,6,not-required,1,16
SSP Europe AS42360,AS42360,1,0,1,0,0,1.0,,,,0,0,-,0,0,,,0,,0,Regional,0,0,18,not-required,10,50
Comcast - Utah AS33660,AS33660,0,0,1,0,0,,,,,0,0,-,0,1,Cable/DSL/ISP,restrictive,1,,1,Regional,0,0,18,required,0,0
TOHU IX RS AS142277,AS142277,0,0,0,1,0,1.0,,,,0,0,-,0,0,,open,0,,0,,1,0,18,not-required,1000,0
CONECT TELECOM COMUNICAÇÃO LTDA AS268737,AS268737,1,0,1,0,1,1.0,,,,0,0,-,0,0,,open,0,Heavy Inbound,0,Regional,0,0,6,not-required,38,48
Rifqi Arief Pamungkas AS199514 AS199514,AS199514,1,0,0,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Heavy Inbound,0,Asia Pacific,3,0,1,not-required,20,0
Wu Zhiyuan AS209650,AS209650,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,Global,8,0,18,not-required,10,1
Thales UK Ltd AS48688,AS48688,1,0,0,0,1,1.0,,,,0,0,-,0,0,Enterprise,open,0,Balanced,0,Europe,1,0,3,not-required,0,4
Portlane AS42708,AS42708,1,0,1,0,1,1.0,,10.0,,0,0,-,1,0,NSP,selective,38,Balanced,0,Europe,17,0,18,not-required,500,2000
NekomimiRouter AS138037,AS138037,0,0,0,0,0,1.0,,,,0,0,-,0,0,Non-Profit,open,3,Balanced,0,Global,0,0,2,not-required,20,10
Nejc Drobnic AS199337,AS199337,0,0,1,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,,1,0,18,not-required,30,10
Alien Dns Pvt Ltd AS137681,AS137681,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,2,Mostly Inbound,0,Asia Pacific,1,0,4,not-required,10,100
QuxLabs AS203038,AS203038,0,0,0,0,0,1.0,,,,0,0,-,0,0,Non-Profit,open,3,Balanced,0,Europe,3,0,4,not-required,10,10
Chadinar Geraldi Purnama AS215379,AS215379,1,0,0,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Balanced,0,Asia Pacific,0,0,1,required,128,0
TahoeIX Services AS395651,AS395651,1,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,2,Heavy Outbound,0,Regional,1,0,18,not-required,5,5
Inic Communications AS146846,AS146846,1,0,1,0,1,1.0,,,,0,0,-,0,0,Route Server,selective,0,Balanced,0,Asia Pacific,0,1,4,not-required,2000,2000
Hometown Technologies AS30274,AS30274,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,,0,,1,0,18,not-required,50000,300000
JB3 AS211224,AS211224,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Inbound,0,Europe,1,0,0,not-required,3,0
VibeNet Telecom AS268935,AS268935,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Mostly Inbound,0,Regional,2,0,3,not-required,50,100
IQ-TECHNOFAST AS205049,AS205049,1,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,,0,Middle East,0,0,7,not-required,200,100
Justifi Network AS210508,AS210508,0,0,1,0,0,1.0,,,,0,0,-,0,0,Network Services,open,0,Balanced,0,Global,0,0,2,not-required,256,4
Gigastream plc AS31712,AS31712,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,open,43,Balanced,0,Europe,1,0,18,not-required,3,50
Inter Medialink Solusi AS138854,AS138854,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,10,Mostly Inbound,0,Asia Pacific,5,0,3,not-required,23,23
Felix Annen AS200490,AS200490,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,2,Mostly Inbound,0,Europe,0,0,1,not-required,10,10
EasyDataHost AS205081,AS205081,1,0,1,0,0,1.0,,,,0,0,-,0,0,Content,open,1,Mostly Inbound,0,Europe,2,0,5,not-required,10,10
Pacifico Cable S.A. AS27901,AS27901,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,1,Mostly Inbound,0,South America,1,0,12,private-only,250,400
Riksnet AB (Ratt-Internet Kapacitet i Sverige AB) AS34610,AS34610,0,0,0,1,1,1.0,,,,0,0,-,0,0,NSP,open,2,Heavy Outbound,0,Regional,8,0,4,not-required,0,5
FILE42 AS56997,AS56997,1,1,0,0,1,1.0,,,,0,0,-,0,0,,open,0,,0,Europe,2,0,18,not-required,10,10
ICU Solutions B.V. AS207117,AS207117,0,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,selective,1,Mostly Inbound,0,Regional,1,0,2,not-required,0,1
Ludigssoft RZ AS49910,AS49910,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,selective,6,Balanced,0,Europe,1,0,18,not-required,50,250
MEGALINK TELECOMUNICACOES AS52944,AS52944,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Mostly Inbound,0,Regional,2,0,6,not-required,20,30
Exa Networks Limited AS30740,AS30740,1,0,1,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,8,Mostly Inbound,0,Regional,5,0,6,not-required,200,200
JPR Digital Pvt. Ltd. AS132220,AS132220,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,5,Mostly Inbound,0,Asia Pacific,4,0,8,not-required,30,250
RAFAEL ALVES DA SILVA ME AS269611,AS269611,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Mostly Inbound,0,Regional,0,0,3,not-required,50,100
Inferno Communications AS207841,AS207841,1,0,1,0,1,1.0,,,,0,0,-,0,0,Enterprise,open,2,Balanced,0,Europe,3,0,3,not-required,150,20
xTom Japan AS4785,AS4785,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,6,Balanced,0,Asia Pacific,1,0,7,not-required,1000,1000
LIKENET AS271337,AS271337,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Balanced,0,South America,1,0,3,not-required,431,524
HUXNET AS52192,AS52192,0,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,,0,Europe,1,0,18,not-required,10,0
AetherNet AS215207,AS215207,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,,0,0,18,not-required,0,1
Medialink Global Mandiri AS64297,AS64297,1,0,0,0,1,1.0,,,,0,0,-,0,0,,selective,0,Balanced,0,Asia Pacific,3,0,4,not-required,1000,1000
Cludo Sp. z o.o. AS198591,AS198591,0,0,1,0,0,1.0,,,,0,0,-,0,0,Enterprise,open,0,Balanced,0,Regional,2,0,3,not-required,0,2
West Virginia Internet Exchange AS15183,AS15183,0,0,0,0,0,1.0,,,,0,0,-,0,0,Route Server,open,1,,0,Regional,1,0,18,not-required,100000,200000
AP Foundation AS54316,AS54316,0,0,1,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Balanced,0,North America,0,0,3,not-required,25,25
Linked Web AS270928,AS270928,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,0,Mostly Inbound,0,Regional,1,0,4,not-required,3,3
S5B AS199471,AS199471,0,0,0,0,1,1.0,,,,0,0,-,0,0,Non-Profit,open,0,Balanced,0,Europe,5,0,0,not-required,2,0
InterIX AS56584,AS56584,0,0,0,0,0,1.0,,,,0,0,-,0,0,Route Server,open,12,Balanced,0,Global,1,0,8,not-required,100000,500000
Apple Inc. AS714,AS714,1,0,1,0,0,1.0,,,,0,0,-,0,0,Content,selective,70,Mostly Outbound,0,Global,77,1,18,not-required,1000,10000
Cipta Data Global AS141935,AS141935,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Mostly Inbound,0,Asia Pacific,5,0,4,not-required,100,200
baragoon networks AS215887,AS215887,1,0,0,1,0,1.0,,,,0,0,-,0,0,Non-Profit,open,0,Balanced,0,Europe,18,0,2,not-required,32,1
Pacific Delta Network AS400307,AS400307,1,0,1,0,1,1.0,,,,0,0,-,0,0,Enterprise,open,0,Mostly Outbound,0,North America,1,0,3,not-required,50,5
NANDO NET AS268858,AS268858,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,0,Regional,0,0,3,not-required,0,2048
PLUGAR TELECOMUNICACOES AS269182,AS269182,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,0,Heavy Inbound,0,South America,2,0,6,not-required,6,14
Arpan Sen AS142598,AS142598,1,0,0,0,1,1.0,,,,0,0,-,0,0,Educational/Research,,2,Mostly Inbound,0,Global,2,0,2,not-required,10,1
Priston Net Telecom AS264135,AS264135,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Balanced,0,Regional,1,0,4,not-required,32,22
Hive Data Center AS33185,AS33185,1,0,0,0,0,1.0,,,,0,0,-,0,0,Enterprise,open,7,Balanced,0,North America,3,0,6,not-required,50,100
David Moes AS212568,AS212568,0,0,0,0,0,1.0,,,,0,0,-,0,0,,open,0,,0,Europe,4,0,18,not-required,100,0
P Foundation AS399728,AS399728,0,0,0,0,0,1.0,,,,0,0,-,0,0,Non-Profit,open,5,Mostly Inbound,0,,3,0,4,not-required,30,30
Link11 AS34309,AS34309,0,0,1,0,0,1.0,,,,0,0,-,0,0,NSP,selective,12,Mostly Inbound,0,Global,9,0,11,not-required,1000,2000
Kazehana Networks AS30690,AS30690,1,0,1,1,1,1.0,,,,0,0,-,0,0,NSP,open,0,,0,,5,0,18,not-required,50,10
VNP AS56328,AS56328,1,0,1,0,0,1.0,,,,0,0,-,0,0,NSP,open,3,Balanced,0,Global,2,0,4,private-only,500,100
Baoshuo Network AS141776,AS141776,0,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Balanced,0,Global,11,0,2,not-required,100,10
Kareby Hosting AB AS204538,AS204538,0,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,1,,0,,3,0,18,not-required,20,20
Nato Internet Service (Experimental) AS396303,AS396303,1,0,0,1,0,1.0,,,,0,0,6,0,0,Non-Profit,open,1,,0,,2,0,18,not-required,100,20
Niigata Communication Service AS9601,AS9601,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,0,Asia Pacific,1,0,3,private-only,5,10
CodeReactor Limited AS208563,AS208563,1,0,0,1,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Outbound,0,Europe,4,0,2,not-required,3,1
Alibaba AS45102,AS45102,1,0,1,0,0,1.0,,,,0,0,-,0,0,Content,open,12,Mostly Outbound,0,Global,43,0,18,not-required,50,1000
MITRA VISIONER PRATAMA AS64315,AS64315,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,open,15,Mostly Inbound,0,Asia Pacific,8,0,11,not-required,700,1500
Equinix Metal AS54825,AS54825,1,1,1,1,1,1.0,,,,0,0,-,0,0,Content,open,27,Balanced,0,Global,38,0,12,not-required,1000,10000
Silver Star Communications AS26223,AS26223,0,0,0,0,1,1.0,,,,0,0,-,1,0,Cable/DSL/ISP,selective,5,Mostly Inbound,0,Regional,2,0,7,not-required,10,50
Tencent Global AS132203,AS132203,1,0,0,0,1,1.0,,,,0,0,-,0,0,Content,open,15,Mostly Outbound,0,Global,31,0,4,not-required,50,1000
SIGNAL TELECOM AS36388,AS36388,0,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,9,Heavy Outbound,0,Global,0,0,4,not-required,1,10
LeaseWeb Netherlands AS205025,AS205025,1,0,1,0,1,1.0,,,,0,0,-,0,0,Content,selective,0,Heavy Outbound,0,,0,0,18,not-required,100,500
"CZ.NIC, z.s.p.o. AS25192",AS25192,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,0,Balanced,0,Global,13,0,1,private-only,50,50
SdV AS8839,AS8839,0,0,0,0,0,1.0,,,,0,0,-,0,0,Content,selective,4,Heavy Outbound,0,Europe,5,0,5,not-required,1,10
AT&T US - 7018 AS7018,AS7018,0,0,1,0,0,0.667,,,,0,0,-,1,0,NSP,selective,0,Mostly Inbound,1,North America,0,0,18,required,0,0
SweHosting AS208453,AS208453,1,0,1,1,1,1.0,,,,0,0,-,0,0,Network Services,open,1,Balanced,0,Europe,2,0,18,not-required,50,5
"Fastly, Inc. AS54113",AS54113,1,0,1,0,1,1.0,,,,0,0,-,1,0,Content,selective,103,Heavy Outbound,0,Global,138,0,17,not-required,1000,1000
IMLONGHAO AS133846,AS133846,1,0,0,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Inbound,0,,1,0,2,not-required,32,2
ServerAstra AS56322,AS56322,1,0,1,0,0,1.0,,1.0,,0,0,-,0,0,Content,open,1,Balanced,0,Global,1,0,6,not-required,200,200
POWER TECH TELECOMUNICACOES AS267635,AS267635,0,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,,0,Regional,0,0,2,not-required,4,4
New HB Servicos de Telecomunicacoes AS269299,AS269299,1,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Mostly Inbound,0,Regional,1,0,5,private-only,30,100
emerion WebHosting AS51453,AS51453,1,0,1,1,1,1.0,,25.0,,0,0,-,0,0,,,1,,0,,0,0,18,not-required,0,0
Hivane AS34019,AS34019,0,0,1,0,1,1.0,,,,0,0,-,0,0,Non-Profit,open,15,Balanced,0,Regional,17,0,3,not-required,200,200
DENIC Anycast AS31529,AS31529,1,0,1,0,1,1.0,,,,0,0,-,0,0,Non-Profit,open,0,Mostly Outbound,0,Global,16,0,18,not-required,40,40
Juragan Wifi Indonesia AS141073,AS141073,1,0,1,1,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Heavy Inbound,0,Asia Pacific,3,0,4,not-required,16,20
Verein zur Foerderung freier Netze Region Mittlerer Oberrhein e.V. AS202329,AS202329,0,0,0,0,1,1.0,,,,0,0,-,0,0,Non-Profit,open,1,Balanced,0,Regional,1,0,3,not-required,50,50
ExtraIP B.V. AS45040,AS45040,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,selective,3,Balanced,0,Regional,1,0,3,not-required,2,5
Telnyx LLC AS63440,AS63440,1,0,1,0,1,1.0,,,,0,0,-,0,0,Content,open,18,,0,Global,0,0,18,not-required,2,40
Korton Internet BV AS58138,AS58138,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,open,5,Balanced,0,Europe,2,0,4,not-required,50,100
"Misaka Network, Inc. AS57695",AS57695,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,0,Balanced,0,Global,3,0,8,not-required,600,300
Free IX Services AS51530,AS51530,1,0,0,0,1,1.0,,,,0,0,-,0,0,Route Server,open,0,,0,Europe,1,1,18,not-required,80000,150000
Gigahost ApS AS203570,AS203570,1,0,0,0,1,1.0,,,,0,0,-,0,0,Content,open,0,Mostly Outbound,0,Europe,0,0,2,not-required,1,1
Netflix AS2906,AS2906,1,0,1,0,1,1.0,,,,0,0,-,0,0,Content,open,77,Heavy Outbound,0,Global,108,0,18,not-required,250,250
Delix Net Solution AS137098,AS137098,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,1,Mostly Inbound,0,Asia Pacific,2,0,6,not-required,10,200
Joey-Network AS49697,AS49697,1,0,0,0,1,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Balanced,0,Europe,3,0,3,not-required,1000,200
START AS52999,AS52999,1,1,0,1,0,1.0,,,,0,0,-,0,0,NSP,open,0,Heavy Inbound,0,Regional,4,0,7,not-required,100,200
SOROK76 AS200508,AS200508,0,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,1,Heavy Outbound,0,Europe,0,0,6,not-required,1,1
Dynamic Quantum Networks AS200351,AS200351,1,0,1,1,1,1.0,,,,0,0,-,0,0,Educational/Research,open,0,,0,Global,13,0,0,not-required,32,4
IPTelecom AS39931,AS39931,0,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,5,Balanced,0,Europe,1,0,4,not-required,1,10
Lexxa Data Indonusa AS139428,AS139428,1,0,1,0,1,,,,,0,0,-,0,0,Cable/DSL/ISP,open,5,Mostly Inbound,1,Asia Pacific,10,0,6,required,200,100
SnapServ AS48550,AS48550,0,0,1,1,1,1.0,,,,0,0,-,0,0,Content,open,1,Balanced,0,Global,0,0,2,not-required,25,25
RUDAKI.net AS210925,AS210925,0,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Balanced,0,Europe,0,0,2,not-required,50,0
O'Play Digital Services AS328580,AS328580,0,0,1,0,1,1.0,,1.0,,0,0,-,0,0,Enterprise,selective,2,Heavy Inbound,0,,1,0,18,not-required,4,4
NET WIL AS272488,AS272488,1,0,0,0,1,1.0,,,,0,0,-,0,0,NSP,open,1,Balanced,0,Regional,0,0,3,not-required,1000,24
360NET AS267809,AS267809,1,0,1,0,0,1.0,,,,0,0,-,0,0,Network Services,open,2,Heavy Inbound,0,South America,2,0,6,not-required,1000,5000
Yao Jiahao AS147016,AS147016,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Mostly Outbound,0,Global,4,0,18,not-required,1,0
Mioindirizzo AS201102,AS201102,1,0,0,0,1,1.0,,,,0,0,-,1,0,Cable/DSL/ISP,open,1,Mostly Inbound,0,Europe,1,0,3,not-required,1,9
Kyoto University Microcomputer Club (KMC) AS59128,AS59128,1,0,1,0,1,1.0,,,,0,0,-,0,0,Educational/Research,selective,1,Mostly Inbound,0,Regional,0,0,1,not-required,1,1
Netrouting AS6206,AS6206,1,0,0,0,1,1.0,,,,0,0,-,1,0,Content,open,13,Heavy Inbound,0,,7,0,18,not-required,50,700
Francesco Ascione AS211411,AS211411,0,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,1,Balanced,0,Europe,0,0,2,not-required,12,0
Blue Lotus Support Services AS132556,AS132556,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,,0,Asia Pacific,4,0,7,not-required,20,65
Bamboozle Web Services AS200851,AS200851,1,0,0,0,1,1.0,,,,0,0,-,1,0,Content,open,2,Balanced,0,Global,1,0,3,not-required,0,5
OVHcloud AS16276,AS16276,0,0,0,0,0,1.0,,,,0,0,-,0,0,Content,open,44,Heavy Outbound,0,Global,54,0,14,not-required,200,1000
ASAP GLOBAL TELECOM LTDA AS264144,AS264144,1,0,1,0,1,1.0,,,,0,0,-,0,0,NSP,open,8,Balanced,0,Global,2,0,12,not-required,1000,4000
Karolio IT paslaugos EU2 AS212669,AS212669,0,0,0,0,0,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,0,Europe,0,0,5,not-required,60,100
ESTOXY-OU AS3920,AS3920,1,0,1,0,1,1.0,,10.0,,0,0,-,0,0,Enterprise,open,10,Heavy Outbound,0,Global,11,0,12,not-required,250,1000
Guillaume MALEYRAT AS203636,AS203636,1,0,0,0,0,1.0,,,,0,0,-,0,0,Educational/Research,open,0,Balanced,0,Europe,1,0,1,not-required,5,0
GATEWAY ENTERPRISE CORPORATION AS271335,AS271335,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,0,Regional,0,0,4,not-required,32,22
Sentrian Pty Ltd AS133189,AS133189,1,0,1,0,0,1.0,,,,0,0,-,0,0,,open,3,,0,Australia,6,0,18,not-required,1,2
Telefonica del Sur AS14117,AS14117,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,selective,1,Balanced,0,South America,0,0,7,not-required,1,27
FUTURE NETSANCHAR LIMITED AS133283,AS133283,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,3,Mostly Inbound,0,Regional,3,0,18,not-required,50,100
Hutchison 3G UK AS60339,AS60339,1,0,0,0,1,1.0,,,,0,0,-,0,0,,,0,,0,,0,0,18,required,0,5
Pasifik Satelit Nusantara AS38154,AS38154,1,0,1,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Mostly Inbound,0,Asia Pacific,2,0,5,required,32,21
Pluxcon Ltd (AS209165) AS209165,AS209165,0,0,1,0,1,1.0,,,,0,0,-,0,0,Content,,0,Heavy Outbound,0,Regional,0,1,2,not-required,10,5
COMFORT NET SERVICOS DE TELECOMUNICACOES AS273459,AS273459,1,0,0,0,1,1.0,,,,0,0,-,0,0,Cable/DSL/ISP,open,0,Balanced,0,South America,0,0,3,not-required,1000,1000
